Frequency (Hz)	Level (dB)
704.589844	-137.100525
706.054688	-137.100327
707.519531	-137.100037
708.984375	-137.099701
710.449219	-137.099197
711.914063	-137.098846
713.378906	-137.098495
714.843750	-137.098190
716.308594	-137.097870
717.773438	-137.097534
719.238281	-137.097198
720.703125	-137.096848
722.167969	-137.096466
723.632813	-137.096176
725.097656	-137.095963
726.562500	-137.095749
728.027344	-137.095459
729.492188	-137.095291
730.957031	-137.095245
732.421875	-137.094803
733.886719	-137.094360
735.351563	-137.094421
736.816406	-137.094330
738.281250	-137.093903
739.746094	-137.093781
741.210938	-137.094009
742.675781	-137.093597
744.140625	-137.093536
745.605469	-137.093597
747.070313	-137.093567
748.535156	-137.093567
750.000000	-137.093613
751.464844	-137.093704
752.929688	-137.093735
754.394531	-137.093826
755.859375	-137.094086
757.324219	-137.094162
758.789063	-137.094528
760.253906	-137.094879
761.718750	-137.094971
763.183594	-137.094879
764.648438	-137.095261
766.113281	-137.095810
767.578125	-137.095932
769.042969	-137.096176
770.507813	-137.096588
771.972656	-137.097137
773.437500	-137.097412
774.902344	-137.097641
776.367188	-137.098099
777.832031	-137.098694
779.296875	-137.099091
780.761719	-137.099426
782.226563	-137.100037
783.691406	-137.100449
785.156250	-137.100876
786.621094	-137.101303
788.085938	-137.101776
789.550781	-137.102280
791.015625	-137.102661
792.480469	-137.103119
793.945313	-137.103592
795.410156	-137.104065
796.875000	-137.104324
798.339844	-137.104874
799.804688	-137.105362
801.269531	-137.105637
802.734375	-137.105927
804.199219	-137.106522
805.664063	-137.106964
807.128906	-137.107407
808.593750	-137.107483
810.058594	-137.107788
811.523438	-137.108017
812.988281	-137.108398
814.453125	-137.108536
815.917969	-137.108932
817.382813	-137.108994
818.847656	-137.109070
820.312500	-137.109253
821.777344	-137.109283
823.242188	-137.109482
824.707031	-137.109589
826.171875	-137.109619
827.636719	-137.109604
829.101563	-137.109711
830.566406	-137.109619
832.031250	-137.109573
833.496094	-137.109558
834.960938	-137.109573
836.425781	-137.109222
837.890625	-137.109161
839.355469	-137.109146
840.820313	-137.108994
842.285156	-137.108917
843.750000	-137.108536
845.214844	-137.108444
846.679688	-137.108170
848.144531	-137.108002
849.609375	-137.107803
851.074219	-137.107651
852.539063	-137.107376
854.003906	-137.107162
855.468750	-137.106888
856.933594	-137.106705
858.398438	-137.106339
859.863281	-137.106186
861.328125	-137.105896
862.792969	-137.105530
864.257813	-137.105438
865.722656	-137.105362
867.187500	-137.105057
868.652344	-137.104675
870.117188	-137.104614
871.582031	-137.104431
873.046875	-137.104111
874.511719	-137.104141
875.976563	-137.104050
877.441406	-137.103622
878.906250	-137.103546
880.371094	-137.103683
881.835938	-137.103485
883.300781	-137.103241
884.765625	-137.103317
886.230469	-137.103210
887.695313	-137.103256
889.160156	-137.103165
890.625000	-137.103241
892.089844	-137.103195
893.554688	-137.103317
895.019531	-137.103271
896.484375	-137.103149
897.949219	-137.103134
899.414063	-137.103394
900.878906	-137.103622
902.343750	-137.103561
903.808594	-137.103561
905.273438	-137.103745
906.738281	-137.103973
908.203125	-137.103912
909.667969	-137.104019
911.132813	-137.104126
912.597656	-137.104050
914.062500	-137.104279
915.527344	-137.104568
916.992188	-137.104431
918.457031	-137.104782
919.921875	-137.104752
921.386719	-137.104874
922.851563	-137.104874
924.316406	-137.105011
925.781250	-137.104980
927.246094	-137.105057
928.710938	-137.105148
930.175781	-137.105133
931.640625	-137.105103
933.105469	-137.105225
934.570313	-137.105225
936.035156	-137.105103
937.500000	-137.105057
938.964844	-137.104919
940.429688	-137.104919
941.894531	-137.104797
943.359375	-137.104858
944.824219	-137.104584
946.289063	-137.104385
947.753906	-137.104294
949.218750	-137.104065
950.683594	-137.104019
952.148438	-137.103729
953.613281	-137.103485
955.078125	-137.103241
956.542969	-137.102997
958.007813	-137.102768
959.472656	-137.102478
960.937500	-137.102219
962.402344	-137.101974
963.867188	-137.101685
965.332031	-137.101288
966.796875	-137.101013
968.261719	-137.100662
969.726563	-137.100281
971.191406	-137.099854
972.656250	-137.099533
974.121094	-137.099136
975.585938	-137.098770
977.050781	-137.098450
978.515625	-137.098068
979.980469	-137.097763
981.445313	-137.097351
982.910156	-137.097000
984.375000	-137.096466
985.839844	-137.096222
987.304688	-137.095810
988.769531	-137.095474
990.234375	-137.095123
991.699219	-137.094833
993.164063	-137.094482
994.628906	-137.094162
996.093750	-137.093811
997.558594	-137.093582
999.023438	-137.093277
1000.488281	-137.092941
1001.953125	-137.092667
1003.417969	-137.092316
1004.882813	-137.092072
1006.347656	-137.091904
1007.812500	-137.091614
1009.277344	-137.091339
1010.742188	-137.091263
1012.207031	-137.091034
1013.671875	-137.090790
1015.136719	-137.090637
1016.601563	-137.090500
1018.066406	-137.090439
1019.531250	-137.090256
1020.996094	-137.090134
1022.460938	-137.089981
1023.925781	-137.089905
1025.390625	-137.089706
1026.855469	-137.089783
1028.320313	-137.089676
1029.785156	-137.089569
1031.250000	-137.089508
1032.714844	-137.089493
1034.179688	-137.089508
1035.644531	-137.089569
1037.109375	-137.089523
1038.574219	-137.089539
1040.039063	-137.089417
1041.503906	-137.089417
1042.968750	-137.089554
1044.433594	-137.089600
1045.898438	-137.089569
1047.363281	-137.089615
1048.828125	-137.089661
1050.292969	-137.089706
1051.757813	-137.089844
1053.222656	-137.089874
1054.687500	-137.089874
1056.152344	-137.089935
1057.617188	-137.090134
1059.082031	-137.090103
1060.546875	-137.090271
1062.011719	-137.090347
1063.476563	-137.090576
1064.941406	-137.090454
1066.406250	-137.090607
1067.871094	-137.090714
1069.335938	-137.090820
1070.800781	-137.090912
1072.265625	-137.091049
1073.730469	-137.090927
1075.195313	-137.091263
1076.660156	-137.091385
1078.125000	-137.091507
1079.589844	-137.091599
1081.054688	-137.091675
1082.519531	-137.091858
1083.984375	-137.092010
1085.449219	-137.092148
1086.914063	-137.092300
1088.378906	-137.092438
1089.843750	-137.092529
1091.308594	-137.092651
1092.773438	-137.092804
1094.238281	-137.092896
1095.703125	-137.093094
1097.167969	-137.093185
1098.632813	-137.093475
1100.097656	-137.093506
1101.562500	-137.093811
1103.027344	-137.093887
1104.492188	-137.093933
1105.957031	-137.094101
1107.421875	-137.094254
1108.886719	-137.094406
1110.351563	-137.094513
1111.816406	-137.094650
1113.281250	-137.094818
1114.746094	-137.094833
1116.210938	-137.094986
1117.675781	-137.095184
1119.140625	-137.095200
1120.605469	-137.095444
1122.070313	-137.095474
1123.535156	-137.095505
1125.000000	-137.095612
1126.464844	-137.095749
1127.929688	-137.095734
1129.394531	-137.095901
1130.859375	-137.095917
1132.324219	-137.095871
1133.789063	-137.095856
1135.253906	-137.095871
1136.718750	-137.095932
1138.183594	-137.095993
1139.648438	-137.095840
1141.113281	-137.095825
1142.578125	-137.095901
1144.042969	-137.095993
1145.507813	-137.095764
1146.972656	-137.095627
1148.437500	-137.095673
1149.902344	-137.095612
1151.367188	-137.095413
1152.832031	-137.095413
1154.296875	-137.095444
1155.761719	-137.095123
1157.226563	-137.094864
1158.691406	-137.094772
1160.156250	-137.094742
1161.621094	-137.094574
1163.085938	-137.094391
1164.550781	-137.094254
1166.015625	-137.093994
1167.480469	-137.093887
1168.945313	-137.093628
1170.410156	-137.093414
1171.875000	-137.093292
1173.339844	-137.093185
1174.804688	-137.092972
1176.269531	-137.092636
1177.734375	-137.092438
1179.199219	-137.092346
1180.664063	-137.092148
